...ssrna virus
afferent limb
afferent loop
aflatoxins.related hepatocellular
african endomyocardial
african iron
african lymphadenopathic
african sleeping
african swine
african tick
african tick.bite
age related
age.related cortical
age.related macular
aggressive digital
aggressive nk.cell
aggressive systemic
agnathia.holoprosencephaly.situs inversus
agnogenic myeloid
aids related
aids wasting
aids.related kaposi.apos.s
aip .
al awadi.raas.rothschild
al.awadi.raas.rothschild.schinzel phocomelia
aland island
alanine.glyoxylate aminotransferase
albinism. black
albinism. yellow
albright hereditary
albright.apos.s hereditary
alcohol use
alcohol withdrawal
alcohol.induced heart
alcohol.induced mental
alcohol.related birth
alcohol.related neurodevelopmental
alcoholic cirrhosis
alcoholic fatty
alcoholic gastritis.
alcoholic liver
alcuronium bromide
aldosterone deficiency
aldosterone synthase
aleukemic leukemia
aleukemic monocytic
aleutian mink
alg12.congenital disorder
alimentary system
alkhurma hemorrhagic
alkyldihydroxyacetonephosphate synthase
alkylglycerone.phosphate synthase
allergic asthma
allergic bronchopulmonary
allergic contact
allergic cutaneous
allergic dermatitis
allergic granulomatosis
allergic granulomatous
allergic hypersensitivity
allergy to
alopecia androgenetica.
alopecia universalis
alopecia.mental retardation
alpers progressive
alpers.apos. disease
alpha 1.antitrypsin
alpha chain
alpha fucosidase
alpha galactosidase
alpha thalassemia.
alpha thalassemia.intellectual
alpha thalassemia.retardation
alpha thalassemia.x.linked
alpha.2.plasmin inhibitor
alpha.galactosidase a
alpha.globin type
alpha.methylacyl.coa racemase
alpha.thalassemia myelodysplasia
alpha.thalassemia.intellectual disability
alpha.thalassemia.mental retardation
alport syndrome.intellectual
alps type
alternating exotropia
alternating hemiplegia
alternating intermittent
alveolar childhood
alveolar rhabdomyosarcoma
alveolar soft
alymphoid cystic
alzheimer disease
alzheimer disease.
alzheimer.apos.s disease
amaurosis congenita
ambras type
amc neurogenic
amebic abscess
amebic brain
amebic nondysenteric
amebic skin
amebic ulcer
amelogenesis imperfecta
american cutaneous
american hemorrhagic
american mucocutaneous
amino acid
amish brittle
amish nemaline
aml .
amoebic skin
ampullary signet
ampullary small
amylo 1.6
amyloidosis. cerebroarterial.
amyloidosis. familial
amyloidosis. hereditary.
amyloidosis. meretoja
amyotrohpic lateral
amyotrophic lateral
an .
anal basaloid
anal buschke.lowenstein
anal canal
anal carcinoma
anal colloid
anal fissure
anal giant
anal gland
anal glands
anal intraepithelial
anal kaposi.apos.s
anal margin
anal neuroendocrine
anal paget
anal paget.apos.s
anal squamous
anankastic personality
anaphylotoxin inactivator
anaplastic .malignant.
anaplastic ganglioglioma
anaplastic large
anaplastic oligoastrocytoma
anaplastic oligodendroglioma.
anaplastic pleomorphic
anaplastic renal
anaplastic thyroid
anatomical narrow
anauxetic dysplasia
andersen cardiodysrhythmic
androgen insensitivity
androgen resistance
anemia sideroblastic
anemia. hypochromic
anesthesia related
aneurysm. aortic
aneurysmal lesion
angina .
anginal chest
angiofollicular lymph
angioid streaks
angioimmunoblastic t.cell
angiokeratoma corporis
angiolymphoid cutaneous
angiolymphoid hyperplasia
angioma serpiginosum
angiomatous naevus
angle closure
angle.closure glaucoma.
anhidrotic ectodermal
animal viral
aniridia. cerebellar
aniridia.cerebellar ataxia.intellectual
ankyloblepharon.ectodermal defects.cleft
ankylosing spondylitis
ankylosing vertebral
ankyrin.b.related cardiac
anogenital human
anogenital venereal
anomalous a.v
anomalous atrioventricular
anomalous left
anophthalmia clinical
anophthalmia esophageal
anophthalmia microphthalmia
anophthalmia.microphthalmia.esophageal atresia
anophthalmia.pulmonary hypoplasia
antenatal deep
antepartum abnormal
antepartum congenital
antepartum deep
antepartum deep.vein
antepartum excessive
antepartum generalized
antepartum late
antepartum maternal
antepartum peripartum
antepartum premature
antepartum primary
antepartum retroverted
antepartum severe
antepartum thyroid
antepartum transient
antepartum vascular
anterior cerebral
anterior chamber
anterior compartment
anterior corneal
anterior cranial
anterior dislocation
anterior foramen
anterior horn
anterior ischemic
anterior limiting
anterior nasal
anterior optic
anterior pituitary
anterior segment
anterior spinal
anterior staphyloma.
anterior synechiae
anterior urethra
anterior urethral
anterolateral myocardial
anteroseptal myocardial
anthrax pneumonia
anthrax septicemia
anti.basement membrane
anti.glomerular basement
antidepressant type
antiphospholipid antibody
antisocial personality
antithrombin iii
anus basaloid
anus benign
anxious personality
aortic aneurysm.
aortic arch
aortic malignant
aortic valve
aphakia. congenital
aphasia.angular gyrus
apical myocardial
aplasia cutis
apocrine adenosis
apocrine carcinoma
apocrine gland
apocrine sweat
apolipoprotein c.iii
app.related cerebral
apparent mineralocorticoid
appendiceal l.cell
appendix carcinoid
appendix mucinous
apple peel
ar.cmt2. ouvrier
arachnodactyly. contractural
arachnoid cyst
arakawa syndrome
arbovirus hemorrhagic
arcl2. classic
arcl2. debre
arcl2. progeroid
arenaviral hemorrhagic
arenaviridae infectious
argentine hemorrhagic
argentous corneal
arginine.glycine amidinotransferase
argininosuccinate lyase
argyll robertson
armfield x.linked
aromatase excess
aromatic l.amino
arrhythmogenic right
arterial calcification
arterial occlusive
arterial retinal
arterial thoracic
arterial tortuosity
arteriosclerotic cardiovascular
arteriosclerotic vascular
arteriovenous aneurysm
arteriovenous malformations
arteritic anterior
arthrogryposis multiplex
arthrogryposis. renal
arthrogryposis.like hand
arthrogryposis.oculomotor limitation.electroretinal
arthrogryposis.severe scoliosis
arthropathy associated
arthropathy nos.
arthus type
articular cartilage
arx.related intellectual
aryepiglottic fold
arylsulfatase a
arylsulfatase b
asbestos.related lung
asbestos.related malignant
ascariasis .
ascaris lumbricoides
ascending colon
ascorbic acid
aseptic leptospiral
asian desert
asphyxia .
asphyxiating thoracic
aspirin.induced respiratory
asthma. nasal
astrakhan spotted
astrocytic tumor
asymmetric motor
asymptomatic bacteriuria
asynchronous multifocal
at iii
ataxia.delayed dentition.hypomyelination
ataxia.hypogonadism.choroidal dystrophy
ataxia.oculomotor apraxia
ataxic cerebral
athabaskan brainstem
athetoid dyskinetic
atlantic cod
atlantic salmon
atn .
atopic dermatitis
atopic dermatitis.
atp1a1.related autosomal
atp7a.related distal
atr syndrome
atr syndrome.
atr. nondeletion
atrial heart
atrial septal
atrial standstill
atrial tachyarrhythmia
atrioventricular canal
atrioventricular septal
atrophia bulborum
atrophic condition
atrophic flaccid
atrophic muscular
atrophic nonflaccid
atrophy .
attention deficit
atypical adenoma
atypical argyll.robertson
atypical breast
atypical choroid
atypical chronic
atypical decubital
atypical depressive
atypical familial
atypical follicular
atypical gaucher.apos.s
atypical hemolytic.uremic
atypical hereditary
atypical interstitial
atypical lipomatous
atypical meningioma
atypical mrkh
atypical mycobacterium
atypical pineal
atypical polypoid
atypical proliferating
atypical spitz
atypical teratoid
atypical teratoid.rhabdoid
auditory dysfunction
auditory system
auricular septal
australian tick
australian x
autism spectrum
autism.epilepsy syndrome
autistic disorder
autoimmune chronic
autoimmune deficiency
autoimmune disease
autoimmune enteropathy
autoimmune haemolytic
autoimmune hemolytic
autoimmune hepatitis
autoimmune hypersensitivity
autoimmune lymphoproliferative
autoimmune nervous
autoimmune optic
autoimmune peripheral
autoimmune polyendocrine
autoimmune polyendocrinopathy.candidiasis.ectodermal
autoimmune polyglandular
autoimmune thrombocytopenic
autoimmunity.immunodeficiency syndrome.
autoinflammation. panniculitis
autonomic nervous
autonomic peripheral
autosomal cominant
autosomal dominant
autosomal factor
autosomal genetic
autosomal hemophilia
autosomal recessiv
autosomal recessive
autosomal spastic
autosomal.mitochondrial sensorineural
avascular necrosis
avellino corneal
avian hypersensitivity
avian malaria
avian tuberculosis
avitaminosis d
avoidant personality
axenfeld.rieger anomaly
axenfeld.rieger syndrome
axonal charcot.marie.tooth
axonal motor
b acute
b cell
b.all kmt2a
b.cell acute
b.cell adult
b.cell chronic
b.cell linker
b.cell lymphocytic
b.lymphoblastic leukemia.lymphoma
b.lymphoblastic leukemia.lymphoma.
bach2.related immunodeficiency
background diabetic
bacterial endocarditis
bacterial gastroenteritis
bacterial infectious
bacterial overgrowth
bag3.related myofibrillar
balanitis xerotica
balkan endemic
balkan hemorrhagic
ballard type
balloon cell
balo concentric
balo.apos.s concentric
bancroftian filarial
band.like calcification
bardet.biedl syndrome
bare lymphocyte
barmah forest
barrett.apos.s esophagus
barrett.apos.s ulcer
bartholin duct
bartholin gland
bartholin.apos.s duct
bartholin.apos.s gland
bartonella infectious
bartter disease
bartter syndrome
bartter syndrome.
basal cell
basal ganglia
basal laminar
basaloid carcinoma
basaloid lung
basaloid squamous
basilar artery
basisquamous cell
basosquamous carcinoma
basosquamous cell
batten turner
bc .
beare.stevenson cutis
becker muscular
beef tapeworm
behcet syndrome
behcet.apos.s syndrome
bell.apos.s .facial.
benign adenoma
benign adenomyoepithelioma
benign adult
benign breast
benign childhood
benign chronic
benign congenital
benign cutaneous
benign cystosarcoma
benign deep
benign dermal
benign eccrine
benign epididymal
benign epilepsy
benign essential
benign exocrine
benign familial
benign fibrous
benign form
benign giant
benign granular
benign hypertensive
benign intermediate
benign intracran.
benign intracranial
benign joint
benign lipomatous
benign localised
benign localized
benign lymphoepithelial
benign mammary
benign mediastinal
benign melanocytic
benign migratory
benign miscellaneous
benign monoclonal
benign mucous
benign multilocular
benign neonatal
benign neoplasm
benign nevus
benign oncocytoma
benign ovarian
benign paroxysmal
benign pericardial
benign peritoneal
benign perivascular
benign phyllodes
benign pleural
benign prostate
benign psammomatous
benign pseudohypertrophic
benign recurrent
benign renovascular
benign rolandic
benign schwannoma
benign secondary
benign shuddering
benign soft
benign struma
benign tumor
benign vaginal
benign vascular
benzo.d.isothiazol.3.one allergic
benzoic acid
benzyl penicillin
berardinelli.seip congenital
berger.apos.s iga
berlin breakage
bernard .
bernard horner
bernard soulier
bernard.soulier syndrome
best macular
beta galactocerebrosidase
beta.globin type
beta.propeller protein.associated
beta.thalassemia.x.linked thrombocytopenia
beukes familial
beukes hip
beukes type
bh4.deficient hyperphenylalaninemia
bicuspid aortic
bietti crystalline
bietti.apos.s crystalline
bilateral acoustic
bilateral band.like
bilateral breast
bilateral hereditary
bilateral hyperactive
bilateral hypoactive
bilateral loss
bilateral macular
bilateral meningioma
bilateral optic
bilateral renal
bile duct
biliary atresia.
biliary liver
biliary tract
bilirubin metabolic
bilirubin udp
binder type
binocular vision
biotin..propionyl.coa.carboxylase. ligase
biotin.responsive basal
biphasic sarcoma
biphasic synovial
bipolar disorder
bipolar i
bipolar ll
bird breeder.apos.s
bird fancier
bird fancier.apos.s
birk.barel mental
bisphosphoglycerate mutase
bixler christian
black water
blackfan .
bladder adenocarcinoma.
bladder benign
bladder ca
bladder carcinoma
bladder clear
bladder colloid
bladder colonic
bladder diffuse
bladder dome
bladder exstrophy.epispadias.cloacal
bladder flat
bladder hepatoid
bladder lateral
bladder mesonephric
bladder mixed
bladder neck
bladder papillary
bladder signet
bladder squamous
bladder transitional
bladder trigone
bladder tubulo.cystic
bladder urachal
bladder urothelial
bladder verrucous
blastema predominant
blastomyces dermatitidis
bleeding abnormality
bleeding acute
bleeding disorder
bleeding esophageal
bleeding oesophageal
blepharocheilodontic syndrome
blepharophimosis ptosis
blepharophimosis. arachnodactyly.
blepharophimosis. ptosis.
blepharophimosis.intellectual disability
blind hypertensive
blind hypotensive
blind loop
blind spot
blocked lacrimal
blomstrand lethal
blood coagulation
blood group
blood platelet
blood protein
blood urate
blood vessel
bls. type
blue color
blue cone
blue drum
blue nevus
blue nevus.like
blue skin
blue toe
bluecomb disease
blunt duct
body dysmorphic
body louse
bolivian hemorrhagic
bone angioendothelial
bone benign
bone deterioration
bone development
bone dysplasia.medullary
bone epithelioid
bone ewing
bone ewing.apos.s
bone giant
bone inflammation
bone inflammatory
bone localized
bone marrow
bone modeling
bone peripheral
bone remodeling
bone resorption
bone squamous
bone structure
bone tissue
bone vascular
borderline glaucoma
borderline personality
bordetella parapertussis
borrone dermatocardioskeletal
borst.jadassohn intraepidermal
bos taurus
bothnia retinal
bothnian type
botryoid.type embryonal
bovine ephemeral
bovine spongiform
bovine tuberculosis
bowen hutterite
bowen.apos.s disease
bowen.apos.s disease.
bowen.conradi hutterite
bowman membrane
bowman.apos.s membrane
brachial plexus
brachmann de
brachydactyly type
brachydactyly types
brachydactyly.intellectual disability
brachydactyly.preaxial hallux
brachymelic primordial
brachymesophalangy ii
brachyolmia type
brachyolmia.amelogenesis imperfecta
brain glioblastoma
brain iron
brain malformations
brain neoplasm.
brain primary
brain small
brain stem
brain tumor.polyposis
brainstem intraparenchymal
brainstem neuroglial
branch retinal
branched chain
branched.chain keto
brancher deficiency
branching.transferase deficiency
branchiootorenal syndrome
brazilian hemorrhagic
breast adenoid
breast adenomyoepithelial
breast adenomyoepithelioma
breast apocrine
breast benign
breast capillary
breast carcinoma
breast columnar
breast cystic
breast duct
breast ductal
breast engorgement
breast epithelioid
breast fat
breast fibrocystic
breast giant
breast granular
breast histiocytoid
breast implant.associated
breast intracanalicular
breast intraductal
breast juvenile
breast large
breast lobular
breast malignant
breast medullary
breast metaplastic
breast mucinous
breast mucoepidermoid
breast myoepithelial
breast neuroendocrine
breast papillary
breast pericanalicular
breast primary
breast scirrhous
breast secretory
breast signet
breast solid
breast squamous
bric type
brill zinsser
brittle bone
brittle cornea
brittle hair.mental
broad ligament
broad thumb.hallux
brocq congenital
bronchial benign
bronchial mucus
bronchioalveolar lung
bronchiolitis fibrosa
bronchiolitis obliterans
bronchogenic lung
bronchopulmonary dysplasia
bronchus carcinoma
bronchus mucoepidermoid
bronze schilder
brown shrimp
brown tendon
brown.apos.s .tendon.
brown.apos.s sheath
brown.apos.s tendon
brown.vialetto.van laere
brucella abortus
brucella canis
brucella melitensis
brucella suis
brugada syndrome
brugada type
brunzell syndrome
bruton agammaglobulinemia
bruton.apos.s sex.linked
bruton.apos.s type
bruxism .
bt .
bulbomembranous urethral
bullous congenital
bullous ichthyosiform
bullous skin
bullous type
burkitt.apos.s lymphoma
burkitt.apos.s tumor
burning mouth
burton skeletal
buruli ulcer
butterfly.shaped pigmentary
c.p angle
c1 inhibitor
c11orf95 fusion.positive
c3 inactivator
ca .
ca ascending
ca body
ca cardia
ca descending
ca extrahepatic
ca fundus
ca head
ca hepatic
ca intrahepatic
ca larynx
ca liver
ca lower
ca main
ca middle
ca pelvic
ca pylorus
ca sigmoid
ca splenic
ca tail
ca transverse
cabezas syndrome.
caisson disease
calcium metabolism
calcium oxalate
calcium pyrophosphate
california virus
calvarial doughnut
calve .
camptodactyly.arthropathy.coxa vara.pericarditis
camptodactyly.cleft palate.clubfoot
camptodactyly.tall stature.scoliosis.hearing
canal dehiscence
canavan.van bogaert.bertrand
candidal endocarditis
candidal meningitis
candidal otitis
candidal. .otitis
capgras delusion
capillary angioma
capillary leak
capra hircus
carbamoyl phosphate
carbohydrate deficient
carbohydrate induced
carbohydrate metabolic
carbohydrate metabolism
carbohydrate.deficient glycoprotein
carbonic anhydrase
carboxypeptidase n
carcinoma arising
carcinoma cervix
carcinoma ex
carcinoma. anaplastic
carcinoma. metastatic
carcinoma. metastatic.
cardiac failure
cardiac granular
cardiac kaposi.apos.s
cardiac malformation.
cardiac septal
cardioencephalomyopathy. fatal
cardiofaciocutaneous syndrome
cardiomyopathy eith
cardiomyopathy familial
cardiomyopathy hypertrophic
cardiomyopathy. familial
cardiovascular malfunction
cardiovascular organ
cardiovascular system
carney complex
carney complex.
carnitine palmitoyl
carnitine palmitoyltransferase
carnitine transporter
carnitine uptake
carnitine.acylcarnitine translocase
carotid artery
carotid body
carpal tunnel
cartilage development
cartilaginous hamartoma
carvone allergic
caspase 8
caspase eight
cat flea
cat scratch
cataract .
cataract 1
cataract 1.
cataract 10
cataract 11
cataract 12
cataract 13
cataract 14
cataract 15
cataract 16
cataract 17
cataract 18
cataract 19
cataract 2
cataract 20
cataract 21
cataract 22
cataract 26
cataract 27
cataract 29
cataract 3
cataract 30
cataract 31
cataract 32
cataract 34
cataract 35.
cataract 39
cataract 4
cataract 40
cataract 46
cataract 5
cataract 6
cataract 8
cataract 9
cataract. congenital.
cataract. posterior
cataract.intellectual disability.hypogonadism
cataract.microphthalmia.radiculomegaly.cardiac septal
cataracts motor
cataracts. congenital.
catatonic schizophrenia
catatonic type
catecholaminergic polymorphic
catel.hempel type
cathepsin d
cauda equina
caudal dysgenesis
caudal dysplasia
caudal regression
cavernous angioma
cavernous angiomatous
cavernous hemangioma
cavernous sinus
cavovarus deformity
cayman cerebellar
cayman type
cd40 ligand
cda type
cda. type
cdg syndrome
cdgii.cog1 cerebrocostomandibular.like
cecal benign
celiac artery
cell process
cell type
cellular blue
cellular congenital
cellular hemangioma
cellular myxoid
cellular phase
cellulocutaneous plague
cenani.lenz syndactyly
central breast
central congenital
central core
central corneal
central diabetes
central epithelioid
central european
central giant
central gyrate
central hearing
central hypothyroidism
central nervous
central pontine
central pouch.like
central retinal
central saccular
central sleep
central vestibular
centronuclear myopathy
cerebellar ataxia
cerebellar ataxia.
cerebellar ataxia.hypogonadism
cerebellar hyplasia.atrophy.
cerebellar pilocytic
cerebellar vermis
cerebellooculorenal syndrome
cerebelloparenchymal disorder
cerebellopontine angle
cerebral amyloid
cerebral arterial
cerebral arteriovenous
cerebral artery
cerebral autosomal
cerebral capillary
cerebral cavernous
cerebral convexity
cerebral creatine
cerebral dysgenesis.
cerebral embolism
cerebral falx
cerebral folate
cerebral hemisphere
cerebral hemispheric
cerebral hemorrhage.
cerebral primitive
cerebral proliferative
cerebral spastic
cerebral ventricle
cerebral. ocular.
cerebroocular dysplasia.muscular
cerebrovascular benign
cervical adenoid
cervical adenoma
cervical adenosquamous
cervical alveolar
cervical atypical
cervical basaloid
cervical benign
cervical clear
cervical disc
cervical dysplasia
cervical endometrial
cervical endometrioid
cervical intraepithelial
cervical keratinizing
cervical large
cervical lymphoepithelioma.like
cervical malignant
cervical mesonephric
cervical mixed
cervical mucinous
cervical muellerian
cervical mullerian
cervical non.keratinizing
cervical serous
cervical spinal
cervical spondylosis
cervical squamous
cervical symmetrical
cervical sympathetic
cervical verrucous
cervical warty
cervical wilms
cervical wilms.apos.
cervicofacial actinomycotic
cervicomedullary junction
cervix ca
cervix endometrial
cervix small
cervix squamous
cervix uteri
cestode infection
cestode infection.
chagas.apos. disease
chapare hemorrhagic
charcot.marie.tooth disease
charcot.marie.tooth disease.
charcot.marie.tooth disease.nephropathy
charcot.marie.tooth neuronal
charcot.marie.tooth neuropathy
charcot.marie.tooth neuropathy.
charge.like syndrome.
charlevoix.saguenay spastic
chediak .
cheek mucosa
cheilitis granulomatosa
chest infection
chest wall
chf congo
chicken egg
chief cell
childhood absence
childhood acute
childhood anaplastic
childhood apraxia
childhood ataxia
childhood b.cell
childhood botryoid
childhood brain
childhood brainstem
childhood cancer
childhood central
childhood cerebellar
childhood cerebral
childhood choriocarcinoma
childhood choroid
childhood disintegrative
childhood electroclinical
childhood embryonal
childhood endodermal
childhood extraocular
childhood extraosseous
childhood germ
childhood hepatocellular
childhood immature
childhood infratentorial
childhood intracortical
childhood intraocular
childhood kidney
childhood malignant
childhood mature
childhood mediastinal
childhood multilocular
childhood neoplasm
childhood onset
childhood optic
childhood ovarian
childhood parosteal
childhood pilocytic
childhood pleomorphic
childhood precursor
childhood renal
childhood sarcoma
childhood schizophrenia
childhood spinal
childhood supratentorial
childhood t
childhood t.cell
childhood teratocarcinoma
childhood teratoma
childhood testicular
childhood type
childhood vagina
childhood.onset neurosensory
childhood.onset spastic
chlamydia trachomatis
chlamydial infection
chlamydial pneumonia
chlamydial urethritis
chloramine t
chmp2b.related frontotemporal
choanal atresia
cholecystitis without
cholera .
cholestanol storage
cholestasis.edema syndrome.
cholestatic jaundice
cholesterin granuloma
cholesterol crystal
cholesterol ester
cholesterol.ester transfer
choline deficiency
chondrodysplasia blomstrand
chondrodysplasia punctata
chondrodysplasia punctata.
chondrodystrophia calcificans
chondroid chordoma
chondroid syringoma
chondromatous neoplasm
chondrosarcomatous osteogenic
chordoid glioma
chorioretinal dysplasia.microcephaly.mental
choroid epithelioid
choroid mixed
choroid necrotic
choroid plexus
choroid spindle
choroidal dystrophy.
choroidal epithelioid
choroidal hemorrhage
choroidal rupture
chromium allergic
chromophil adenoma
chromophil carcinoma
chromophobe adenoma
chromophobe carcinoma
chromophobe renal
chromosomal deletion
chromosomal duplication
chromosome 10q23
chromosome 10q24
chromosome 10q26
chromosome 11p11.2
chromosome 11p13
chromosome 11q
chromosome 12q21.33
chromosome 13q14
